A5o	57.7	38.2	27.9	22	18	15.2	13.1
T4s	46.4	30.1	22.7	18.4	15.6	13.6	12.1
63s	39.4	26.5	20.4	16.8	14.5	12.9	11.7
T8o	50	33.6	25.4	20.4	16.9	14.4	12.5
98o	48.4	32.9	25.1	20.1	16.6	14.2	12.3
A4o	56.4	36.9	26.9	21.1	17.3	14.7	12.6
T3s	45.5	29.3	22	17.8	15.1	13.2	11.8
84s	42.7	28.1	21.4	17.4	14.8	13	11.7
52s	37.5	25.3	19.5	16.1	14	12.5	11.4
T2s	44.7	28.5	21.4	17.4	14.8	13	11.6
A6o	57.8	38	27.6	21.5	17.5	14.7	12.6
42s	36.3	24.6	18.8	15.7	13.7	12.3	11.2
A3o	55.6	35.9	26.1	20.4	16.7	14.2	12.2
J8o	51.7	34.2	25.6	20.4	16.8	14.1	12.2
K8o	56.3	37.2	27.3	21.4	17.4	14.6	12.5
94s	43.8	28.4	21.3	17.3	14.6	12.7	11.3
87o	45.5	30.6	23.2	18.5	15.4	13.1	11.5
73s	40	26.3	20	16.4	14	12.3	11.1
Q8o	53.8	35.4	26.2	20.6	16.9	14.1	12.1
93s	43.2	27.8	20.8	16.8	14.3	12.5	11.1
32s	35.1	23.6	18	14.9	13	11.7	10.7
A2o	54.6	35	25.2	19.6	16.1	13.6	11.7
92s	42.3	27	20.2	16.4	13.9	12.2	10.9
62s	37.5	24.8	18.8	15.4	13.3	11.8	10.7
K7o	55.4	36.1	26.3	20.5	16.7	13.9	11.8
83s	40.8	26.3	19.8	16	13.6	11.9	10.7
97o	46.7	30.9	23.1	18.4	15.1	12.8	11.1
82s	40.3	25.8	19.4	15.7	13.3	11.7	10.5
76o	42.7	28.5	21.5	17.1	14.2	12.2	10.8
K6o	54.3	35	25.3	19.7	16	13.3	11.3
T7o	48.2	31.4	23.4	18.4	15.1	12.8	11
72s	38.1	24.5	18.4	15	12.8	11.2	10.1
65o	40.1	26.7	20	15.9	13.3	11.5	10.2
K5o	53.3	34	24.5	19	15.4	12.9	11
86o	43.6	28.6	21.3	16.9	13.9	11.8	10.4
54o	37.9	25.2	18.8	15	12.6	11	9.8
J7o	49.9	32.1	23.5	18.3	14.9	12.4	10.6
K4o	52.1	32.8	23.4	18.1	14.7	12.3	10.5
Q7o	51.9	33.2	24	18.6	15.1	12.5	10.6
75o	40.8	26.5	19.7	15.5	12.8	11	9.7
